rule_id,levels,title,content,source,source_url
subject_verb_agreement,A1;A2;B1,Subject-verb agreement,"A singular third-person subject normally takes a singular verb in the present. He works, she has, and it is.",SpeakMate Grammar Notes: Subject-verb agreement,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/present-simple
third_person_present,A1;A2;B1,Third-person present simple,"With he, she, or it, add -s or -es to most present-simple verbs. Study becomes studies and watch becomes watches.",SpeakMate Grammar Notes: Present simple,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/present-simple
past_simple,A1;A2;B1,Past simple with finished time,"Use the past simple for a finished event at a finished time, such as yesterday, last week, or two days ago.",SpeakMate Grammar Notes: Past simple,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/past-simple
present_perfect,A2;B1;B2,Present perfect form,"Use have or has plus a past participle. Common irregular forms include gone, eaten, seen, and done.",SpeakMate Grammar Notes: Present perfect,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/present-perfect
article_a_an,A1;A2;B1,Indefinite articles,"Use a or an before a singular countable noun when it is not specific. Use an before a vowel sound, as in an engineer.",SpeakMate Grammar Notes: Articles,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/articles
quantifiers,A2;B1,Many and much,"Use many with plural countable nouns and much with uncountable nouns: many apples, much water.",SpeakMate Grammar Notes: Quantifiers,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/quantifiers
preposition_collocation,A2;B1;B2,Common preposition combinations,"Some adjectives and verbs select a conventional preposition: interested in, good at, depend on, and arrive at/in.",SpeakMate Grammar Notes: Prepositions,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/prepositions
gerund_infinitive,B1;B2,Verb patterns,"Enjoy, avoid, and finish are followed by a gerund. Want, need, and hope are commonly followed by to plus the base verb.",SpeakMate Grammar Notes: Verb patterns,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/verb-patterns
modal_base_form,A2;B1,Modal plus base verb,"A modal such as can, should, or must is followed by the base form without to: can go, should ask, must leave.",SpeakMate Grammar Notes: Modal verbs,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/modal-verbs
question_word_order,A1;A2;B1,Question word order,"In most wh-questions, put the auxiliary or be before the subject: What are you doing? Where did she go?",SpeakMate Grammar Notes: Questions,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/question-forms
comparative_form,A2;B1,Comparative adjectives,"Do not combine more with an adjective that already has a comparative form. Say better, easier, or more useful.",SpeakMate Grammar Notes: Comparatives,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/comparative-and-superlative-adjectives
uncountable_nouns,A2;B1;B2,Uncountable nouns,"Advice, information, feedback, and equipment are normally uncountable in standard English and do not take a plural -s.",SpeakMate Grammar Notes: Countable and uncountable nouns,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/nouns-countable-and-uncountable
because_so_conjunction,A2;B1,Because and so,"Use because to give a reason or so to show a result, but not both in the same clause: Because I was tired, I went to bed early. / I was tired, so I went to bed early.",SpeakMate Grammar Notes: Conjunctions,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
although_but_conjunction,A2;B1;B2,Although and but,"Although already expresses contrast, so it is not combined with but in the same clause: Although it was raining, we still went out.",SpeakMate Grammar Notes: Conjunctions,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
pronoun_gender_confusion,A1;A2,He and she,"English pronouns must match the gender of the person: use she for a woman or girl and he for a man or boy, even though the Chinese words sound the same.",SpeakMate Grammar Notes: Pronouns,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
countable_plural_missing,A1;A2,Plural countable nouns,"A number or quantifier such as two, many, or several is followed by a plural countable noun: two books, many students.",SpeakMate Grammar Notes: Countable and uncountable nouns,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/quantifiers
want_to_infinitive,A1;A2,Want to do,"Verbs like want, need, hope, and plan are followed by to plus the base verb: I want to go home.",SpeakMate Grammar Notes: Verb patterns,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
very_adverb_position,A1;A2,Very with verbs,"Very modifies adjectives or adverbs, not verbs. Say I really like it or I like it very much, not I very like it.",SpeakMate Grammar Notes: Adverbs,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
there_is_are_agreement,A1;A2,There is and there are,The verb in there is / there are agrees with the noun that follows: There are many people in the park. There is a book on the table.,SpeakMate Grammar Notes: There is and there are,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
time_preposition,A1;A2;B1,Prepositions of time,"Use on with days (on Monday), in with parts of the day (in the morning), and at with night, noon, and midnight (at night).",SpeakMate Grammar Notes: Prepositions of time,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
if_will_conditional,B1;B2,First conditional,"In a real conditional, the if-clause uses the present simple, not will: If it rains, we will stay home.",SpeakMate Grammar Notes: Conditionals,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/present-simple
so_such_confusion,B1;B2,So and such,"So comes before an adjective (so beautiful), while such a/an comes before an adjective plus noun (such a beautiful place).",SpeakMate Grammar Notes: So and such,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference
few_little_quantifier,B1,A few and a little,"A few goes with plural countable nouns (a few friends), and a little goes with uncountable nouns (a little water).",SpeakMate Grammar Notes: Quantifiers,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/quantifiers
present_continuous_missing_be,A1;A2,Present continuous form,"The present continuous is be plus the -ing form: I am going, she is cooking. Do not drop the be verb.",SpeakMate Grammar Notes: Present continuous,https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/present-continuous
